TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	SEARCH_CONDITION	TABLE_REFERENCE	STATUS	VALIDATED	INDEX_OWNER	INDEX_NAME
ADMIN_COL_TABLES_VOIES	DATA_TYPE	SYS_C00552817	CHECK	DATA_TYPE IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_COL_TABLES_VOIES	NOM_COL	SYS_C00552816	CHECK	NOM_COL IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_COL_TABLES_VOIES	TYPE_OBJET	SYS_C00552815	CHECK	TYPE_OBJET IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_CONFIG_GESTION_VOIES	PARAM	SYS_C00552818	CHECK	PARAM IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_LISTE_COTE	CODE	SYS_C00552819	CHECK	CODE IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_LISTE_FAMILLE_POI	CODE_FAMILLE	SYS_C00552820	CHECK	CODE_FAMILLE IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_LISTE_ORIGINE_POI	CODE_ORIGINE	SYS_C00552821	CHECK	CODE_ORIGINE IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_LISTE_SYMBOLE	SYMBOLE	SYS_C00552822	CHECK	SYMBOLE IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ADMIN_USERS_GESTION_VOIES	ID_USER_DYNMAP	SYS_C00552823	CHECK	ID_USER_DYNMAP IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTADTN	CCODDFT	SYS_C00552811	CHECK	CCODDFT IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTADTN	CDTMDTN	SYS_C00552812	CHECK	CDTMDTN IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTADTN	CDTSDTN	SYS_C00552813	CHECK	CDTSDTN IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTADTN	CANGTRC	SYS_C00552814	CHECK	CANGTRC IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTADTN	CNUMPTZ	SYS_C00552809	CHECK	CNUMPTZ IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTADTN	CNUMTRC	SYS_C00552810	CHECK	CNUMTRC IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAFILIA	CDTSFILIA	SYS_C00552808	CHECK	CDTSFILIA IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAFILIA	CDTMFILIA	SYS_C00552807	CHECK	CDTMFILIA IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAFILIA	OPERATION	SYS_C00552806	CHECK	OPERATION IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAFILIA	CNUMTRC	SYS_C00552804	CHECK	CNUMTRC IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAFILIA	TRCPERE	SYS_C00552805	CHECK	TRCPERE IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTALPU	CNUMLPU	SYS_C00552849	CHECK	CNUMLPU IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTALPU	CNUMLPU	PK_ILTALPU	PRIMARY KEY	(null)	(null)	ENABLED	VALIDATED	(null)	PK_ILTALPU
ILTAPTZ	CNUMPTZ	SYS_C00552842	CHECK	CNUMPTZ IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAPTZ	CNUMPTZ	PK_ILTAPTZ	PRIMARY KEY	(null)	(null)	ENABLED	VALIDATED	(null)	PK_ILTAPTZ
ILTAPTZ	CDTSPTZ	SYS_C00552844	CHECK	CDTSPTZ IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
ILTAPTZ	CDTMPTZ	SYS_C00552843	CHECK	CDTMPTZ IS NOT NULL		ENABLED	VALIDATED	(null)	(null)
