libelle;abbreviation
ALLEE;"	ALL"
ANCIEN CHEMIN;ACH
ANCIENNE MONTEE;AMT
ANCIENNE ROUTE;ART
ARCADE;ARC
AUTOROUTE;AUT
AVENUE;AV
BAS-CHEMIN;BCH
BERGE;BER
BOUCLE;"	BCE"
BOULEVARD;BVD
CALE;CALE
CARRE;CARR
CARREAU;CAU
CARREFOUR;CAR
CAVEE;CAV
CENTRAL;CTRE
CENTRE;CTRE
CHARMILLE;CHI
CHAUSSEE;CHS
CHEMIN;CHE
CHEMIN VICINAL;CHV
CHEMINEMENT;CHEM
CLOS;CLOS
COTE;COTE
COTEAU;COTE
COUR;COUR
DEGRE;DEG
DESCENTE;DSC
DIGUE;DIG
DOMAINE;DOM
ESCALIER;ESC
ESPACE;ESPA
ESPLANADE;ESP
FAUBOURG;FG
FORUM;FORM
FOSSE;FOS
GRAND BOULEVARD;GBD
GRANDE RUE;GR
GRAND-ENSEMBLE;GDEN
GRAND-RUE;GR
GRIMPETTE;GRIM
HALLE;HLE
HAUT-CHEMIN;HCH
IMPASSE;IMP
JARDIN;JARD
JETEE;JTE
LEVEE;LEVE
LOTISSEMENT;LOT
MAIL;MAIL
MARCHE;MAR
MONTEE;MTE
NOUVELLE ROUTE;NTE
PARC;PARC
PARVIS;PRV
PASSAGE;PAS
PASSE;PASS
PERIPHERIQUE;PERI
PERISTYLE;PSTY
PETIT CHEMIN;PCH
PETIT DEGRE;PDEG
PETITE ALLEE;PTA
PETITE AVENUE;PAE
PETITE IMPASSE;PIM
PETITE ROUTE;PRT
PETITE RUE;PTR
PLACE;PL
PLACETTE;PTTE
PLACIS;PLCI
POTERNE;POT
POURTOUR;POUR
PROMENADE;PROM
QUARTIER;QUA
QUAI;QU
RACCOURCI;RAC
RAIDILLON;RAID
RAMPE;RPE
REMPART;REM
RESIDENCE;RES
ROCADE;ROC
ROND-POINT;RPT
ROQUET;ROQT
ROTONDE;RTD
ROUTE;RTE
RUE;R
RUELLE;RLE
RUETTE;RTTE
SENTE;SEN
SENTIER;SEN
SQUARE;SQ
VIEUX CHEMIN;VCHE
TERRASSE;TSSE
TERRE-PLEIN;TPL
TERTRE;TRT
TRAVERSE;TRA
VENELLE;VEN
VIA;VIA
VIEILLE ROUTE;VTE
VOIE;VOI
VOIE COMMUNALE;VC
COUREE;
