CODE_INSEE;CODE_DEPARTEMENT;CODE_COMMUNE
59011;59;011
59017;59;017
59128;59;128
59252;59;252
59275;59;275
59368;59;368
59339;59;339
59346;59;346
59656;59;656
59051;59;051
59371;59;371
59386;59;386
59457;59;457
59523;59;523
59611;59;611
59648;59;648
59025;59;025
59044;59;044
59163;59;163
59250;59;250
59256;59;256
59303;59;303
59350;59;350
59352;59;352
59360;59;360
59367;59;367
59487;59;487
59508;59;508
59512;59;512
59522;59;522
59609;59;609
59636;59;636
59005;59;005
59146;59;146
59173;59;173
59193;59;193
59201;59;201
59220;59;220
59278;59;278
59299;59;299
59320;59;320
59328;59;328
59477;59;477
59482;59;482
59658;59;658
59088;59;088
59090;59;090
59670;59;670
59195;59;195
59196;59;196
59143;59;143
59356;59;356
59410;59;410
59437;59;437
59098;59;098
59106;59;106
59152;59;152
59247;59;247
59317;59;317
59527;59;527
59550;59;550
59602;59;602
59643;59;643
59650;59;650
59653;59;653
59013;59;013
59052;59;052
59056;59;056
59133;59;133
59202;59;202
59281;59;281
59286;59;286
59332;59;332
59388;59;388
59421;59;421
59458;59;458
59470;59;470
59524;59;524
59553;59;553
59585;59;585
59599;59;599
59009;59;009
59646;59;646
59208;59;208
59257;59;257
59279;59;279
59316;59;316
59343;59;343
59378;59;378
59426;59;426
59507;59;507
59560;59;560
59566;59;566
59598;59;598
59660;59;660
